title,html_url,id,number,milestone,created_at,updated_at,body,author,labels,comments,assignee
Color By Dimension Need to Update CustomKey On Dimension Drag/Drop,https://github.com/mapd/mapd-immerse/issues/2040,197071533,2040,,2016-12-22T01:08:13Z,2018-02-02T00:37:09Z,"## General Info
- **Platform**: All
- **Browser Name**: All
- **Browser Version**: All
- **Application Version**: master dev

## Issue Description

When a chart is colored by dimensions. If you drag and drop dimensions into a different slot. The customKey is not updated, and the chart is colored incorrectly.

## Steps To Reproduce

- Create a pie chart that has 2 dimensions
- Color by one of the dimension
- Drag and drop so the 2 dimensions switch places
- Notice that the color of the chart is not correct.

## Link To Dashboard

## Screenshots

## Other Information
",duhoang,bug,0,
"Relative (""percentage"") view",https://github.com/mapd/mapd-immerse/issues/2035,197045319,2035,,2016-12-21T22:11:24Z,2018-01-30T22:51:34Z,"Request from NVIDIA-GFE and CMT

Feature to reproduce what v.1 immerse offered with its view for ""percentage"" (which was a bit of a misnomer).

example from v.1
http://dashboard-v1-master.dev.frontend.builds.mapd.com/#mapd/3f0db5d7

**without** percentage view applied, sql for row chart in this dashboard looks like this:
```SELECT flights_123M.dest_city as key0,COUNT(*) AS val FROM flights_123M WHERE (flights_123M.origin_state = 'NY') GROUP BY key0 ORDER BY val DESC LIMIT 12;```

**with** percentage view:
```SELECT flights_123M.dest_city as key0, AVG(CASE WHEN (flights_123M.origin_state = 'NY') THEN 1 ELSE 0 END) AS val FROM flights_123M GROUP BY key0 ORDER BY val DESC LIMIT 12;```

when percentage view was applied, dashboard looked like

<img width=""1268"" alt=""screen shot 2016-12-21 at 5 11 31 pm"" src=""https://cloud.githubusercontent.com/assets/14082721/21408024/99f43938-c7a0-11e6-8feb-633f10ae3f5f.png"">
",edmapd,"NVIDIA-GFE,customer,feature",0,
Search Dashboards Box is quite sluggish with 300+ dashboards,https://github.com/mapd/mapd-immerse/issues/2026,196546006,2026,,2016-12-19T23:20:10Z,2017-12-01T17:34:54Z,"## General Info
- **Platform**: All
- **Browser Name**: All
- **Browser Version**: All
- **Application Version**: master dev

## Issue Description

There is quite a bit of lag when searching through the dashboards.

Although this isn't a large problem right now,  I could imagine a situation where any client that had a large quantity of dashboards (500 - 1000+) will run into an exponentially slower experience.

![image](https://cloud.githubusercontent.com/assets/2932405/21332632/9dbf0ab4-c5fe-11e6-9027-87f018a8bfc4.png)
",MarcBalaban,lo-pri,1,
Improper exception handling: `get_link_view`,https://github.com/mapd/mapd-immerse/issues/2024,196457967,2024,,2016-12-19T16:29:52Z,2017-12-01T17:34:34Z,"## General Info
- **Platform**: All
- **Browser Name**: All
- **Browser Version**: All
- **Application Version**: master dev

## Issue Description
The exception thrown by `get_link_view` when requesting an invalid saved link is not handled correctly. Backend throws an exception saying `Link abc1234 is not valid.` but Immerse ignores this and tries to parse the (empty) view_state, resulting in:

    InvalidCharacterError: Failed to execute 'atob' on 'Window': The string to be decoded is not correctly encoded.

## Steps To Reproduce
1) Generate a link
2) Change the ID in the link to something random/most likely not in the DB
3) Attempt to load new link

## Link To Dashboard
http://dashboard-v2-release.dev.frontend.builds.mapd.com/#/link/mapd/abc1234",andrewseidl,"bug,lo-pri",1,
"Server heartbeat check from frontend (""Server may be down"")",https://github.com/mapd/mapd-immerse/issues/2017,195962004,2017,,2016-12-16T01:45:22Z,2017-12-01T17:34:54Z,"Saw while Nvidia was testing their dashboard that server crashed, and they were waiting for a long time for query to come back to frontend, when server was already dead.",edmapd,enhancement,0,
Drag functionality for columns in pointmap/scatter popup box,https://github.com/mapd/mapd-immerse/issues/2012,195913048,2012,,2016-12-15T20:52:37Z,2017-07-15T16:14:10Z,,edmapd,"component-raster,enhancement",0,
"mapdcon: update `get_users`, `get_databases`",https://github.com/mapd/mapd-immerse/issues/1998,195351174,1998,,2016-12-13T19:52:55Z,2017-12-01T17:34:34Z,"Breaking change in the Thrift API, `get_users` and `get_databases` now require authentication. These methods do not appear to be used anywhere in Immerse, but there are tests which will break until they're updated.

All that should be needed is to add the session id to those tests. I'll update Kali and Forge to use the new API once I have a PR ready.",andrewseidl,,0,andrewseidl
Multi-line checkbox for data importer,https://github.com/mapd/mapd-immerse/issues/1978,194188367,1978,,2016-12-07T22:20:05Z,2017-12-01T17:34:49Z,"Having a checkbox here indicating whether data contains multi-line fields will let us parallelize import in case of no multi-lines.

Add a checkbox for ""**Data contains multi-line fields**""



<img width=""590"" alt=""screen shot 2016-12-07 at 2 18 06 pm"" src=""https://cloud.githubusercontent.com/assets/14082721/20989012/045484c8-bc88-11e6-9ad6-6b394af58b18.png"">
",edmapd,enhancement,0,
X-axis display + padding on right of widget are broken for negative numbers (row chart),https://github.com/mapd/mapd-immerse/issues/1976,193940124,1976,,2016-12-07T02:15:17Z,2017-07-15T16:15:48Z,"http://dashboard-v2-master.dev.frontend.builds.mapd.com/#/link/mapd/9ee3a475


<img width=""1280"" alt=""screen shot 2016-12-06 at 6 13 48 pm"" src=""https://cloud.githubusercontent.com/assets/14082721/20952241/dfe4f8dc-bbdf-11e6-8eea-315b2ef6afc5.png"">
",edmapd,"component-charting,lo-pri",0,
Make Pointmap Transition Seamless From Editor to Dashboard ,https://github.com/mapd/mapd-immerse/issues/1971,193898877,1971,,2016-12-06T22:05:49Z,2017-07-15T16:16:20Z,"## General Info
- **Platform**: All
- **Browser Name**: All
- **Browser Version**: All
- **Application Version**: master dev

## Issue Description

When going from the editor to the dashboard, the pointmap is resized after the grid layout loads. This makes the transition seem ""janky"". If you look at the network tab, there also three render calls being made when there should ideally be only one (at most two).

## Steps To Reproduce

1. Create a pointmap in the editor.
2. Click Apply.
3. See that the map gets resized when the grid layout loads again.

## Other Information

See if the `map.resize()` in the `preRender` hook can be done before transitioning to the grid layout dashboard page.
",mrblueblue,"component-raster,enhancement",0,
